id	year	state	county	spend	crime	ratio
2009::MI::SAGINAW	2009	MI	Saginaw	5527.55	1707	3.238166374
2012::TX::ANDREWS	2012	TX	Andrews	1476	89	16.58426966
2008::NE::BUFFALO	2008	NE	Buffalo	3992	67	59.58208955
2007::CA::HUMBOLDT	2007	CA	Humboldt	5988	464	12.90517241
2009::MO::CAMDEN	2009	MO	Camden	2800	25	112
2006::OH::HOCKING	2006	OH	Hocking	3493	9	388.1111111
2007::SD::BROWN	2007	SD	Brown	138	30	4.6
2010::IL::TAZEWELL	2010	IL	Tazewell	76017.26	243	312.8282305
2006::GA::LIBERTY	2006	GA	Liberty	4491	0	4491
2009::IN::LAGRANGE	2009	IN	Lagrange	77984	7	11140.57143
2006::OH::WASHINGTON	2006	OH	Washington 	3822	20	191.1
2012::MN::GOODHUE	2012	MN	Goodhue	115310	0	115310
2011::FL::PASCO	2011	FL	Pasco	12000	1398	8.583690987
2012::GA::BIBB	2012	GA	Bibb	29545.11	790	37.39887342
2010::AZ::GILA	2010	AZ	Gila	141404.44	167	846.7331737
2012::CT::WINDHAM	2012	CT	Windham	282.16	41	6.88195122
2007::MO::BUCHANAN	2007	MO	Buchanan	4990	243	20.53497942
2007::OH::WAYNE	2007	OH	Wayne	1274	79	16.12658228
2010::VA::ROANOKE CITY	2010	VA	Roanoke	43284	676	64.0295858
2010::CA::SAN MATEO	2010	CA	San Mateo	7949.7	1487	5.346133154
2007::TX::RUSK	2007	TX	Rusk	1104	95	11.62105263
2008::VT::BENNINGTON	2008	VT	Bennington	276	33	8.363636364
2011::MI::OTTAWA	2011	MI	Ottawa 	59715.87	263	227.0565399
2011::FL::SEMINOLE	2011	FL	Seminole	16800	765	21.96078431
2008::WI::OZAUKEE	2008	WI	Ozaukee	8483	27	314.1851852
2008::GA::CRISP	2008	GA	Crisp	1274	143	8.909090909
2008::CA::CONTRA COSTA	2008	CA	Contra Costa	98851.2	4052	24.39565647
2012::CA::SAN FRANCISCO	2012	CA	San Francisco	410400.03	5777	71.04033755
2006::WI::COLUMBIA	2006	WI	Columbia	15989	9	1776.555556
2011::CA::FRESNO	2011	CA	Fresno	657748.92	4829	136.2081011
2007::LA::LIVINGSTON	2007	LA	Livingston	58.71	145	0.404896552
2006::IA::STORY	2006	IA	Story	2764	147	18.80272109
2007::AR::LONOKE	2007	AR	Lonoke	4990	222	22.47747748
2006::OH::ASHLAND	2006	OH	Ashland	3903.97	47	83.06319149
2011::MI::MACOMB	2011	MI	Macomb	27950	2132	13.1097561
2006::WV::WAYNE	2006	WV	Wayne 	775	3	258.3333333
2010::MS::LOWNDES	2010	MS	Lowndes	1200	128	9.375
2009::ME::AROOSTOOK	2009	ME	Aroostook	87494.25	0	87494.25
2008::NH::BELKNAP	2008	NH	Belknap	858	57	15.05263158
2006::OH::WARREN	2006	OH	Warren	18762.68	728	25.77291209
2007::ND::BURLEIGH	2007	ND	Burleigh	5266	133	39.59398496
2012::OK::ROGERS	2012	OK	Rogers	1440	152	9.473684211
2011::IL::PEORIA	2011	IL	Peoria	60000	956	62.76150628
2007::MI::WAYNE	2007	MI	Wayne	7485	23628	0.31678517
2008::KS::CRAWFORD	2008	KS	Crawford	9222	91	101.3406593
2006::MN::RICE	2006	MN	Rice	1996	0	1996
2012::GA::COLUMBIA	2012	GA	Columbia 	39446	7	5635.142857
2006::OH::HURON	2006	OH	Huron	3323	0	3323
2011::WY::NATRONA	2011	WY	Natrona	9884.42	103	95.96524272
2007::TX::VICTORIA	2007	TX	Victoria	152208	346	439.9075145
2010::PA::LUZERNE	2010	PA	Luzerne	5472	361	15.15789474
2012::GA::CHATHAM	2012	GA	Chatham	3501283.44	905	3868.821481
2006::MI::WEXFORD	2006	MI	Wexford	2909	37	78.62162162
2010::FL::JACKSON	2010	FL	Jackson 	77522	204	380.0098039
2006::IN::CASS	2006	IN	Cass	2730.33	19	143.7015789
2009::FL::CHARLOTTE	2009	FL	Charlotte	44844.74	33	1358.931515
2011::AZ::NAVAJO	2011	AZ	Navajo	898295.7	1978	454.1434277
2008::WI::POLK	2008	WI	Polk	58.71	67	0.876268657
2012::GA::BARTOW	2012	GA	Bartow 	42880	329	130.3343465
2009::MD::ANNE ARUNDEL	2009	MD	Anne Arundel	2994	2911	1.028512539
2006::OH::SANDUSKY	2006	OH	Sandusky	4597	49	93.81632653
2012::MI::NEWAYGO	2012	MI	Newaygo	172469	0	172469
2012::TN::WILLIAMSON	2012	TN	Williamson	67606.07	184	367.4242935
